id,title,title_tr,created_at,updated_at,deleted
172,Switzerland,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
173,Syria,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
174,Taiwan,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
175,Tajikistan,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
176,Tanzania,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
177,Thailand,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
178,Togo,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
179,Tonga,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
180,Trinidad and Tobago,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
181,Tunisia,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
182,Turkey,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
183,Turkmenistan,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
184,Tuvalu,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
185,Uganda,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
186,Ukraine,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
187,United Arab Emirates,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
188,United Kingdom,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
189,United States,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
190,Uruguay,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
191,Uzbekistan,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
192,Vanuatu,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
193,Vatican City,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
194,Venezuela,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
195,Vietnam,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
196,Yemen,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
197,Zambia,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
198,Zimbabwe,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
199,Other,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
